id;license_plate;brand;model;production_year;engine_size;fuel;engine_power;engine_torque;trunk_size;price
1;mobile Fish;Home Loan Account Table Computer;Trace;33370;60111;GASOLINE;5641;96990;72199;83244
2;red Chips Soap;Home Loan Account;web-readiness;29122;52477;DIESEL;45606;9060;78517;61838
3;syndicate;Mississippi Refined Rubber Chicken Table;Automotive;94220;96563;GASOLINE;23089;68423;24102;44015
4;Rubber Buckinghamshire Games;incentivize Tuna copy;Costa Rica Mayotte;18485;3131;OTHER;59789;72727;92187;32654
5;Georgia;Tasty Plastic Pizza scale;South Georgia and the South Sandwich Islands;58675;35675;OTHER;16526;7455;1563;98688
6;index orange;Jewelery;monitor;72900;79017;OTHER;86310;85003;62329;44945
7;Ergonomic;moratorium moratorium;New York tangible Mississippi;38292;11959;HYBRID;25606;49379;4043;52273
8;partnerships Grocery Intelligent;Dynamic;knowledge base Buckinghamshire;90756;13933;ELECTRIC;75555;20306;22879;94285
9;Money Market Account;Salad Web virtual;Refined Squares;21844;18657;OTHER;12208;89609;35629;31800
10;Gorgeous Profit-focused synergies;cutting-edge ability Hat;supply-chains magenta;11986;26941;DIESEL;51879;55810;70301;40383
